排名,單字,總頻率
1,"ancient",24
2,"mainly",23
3,"common",22
4,"spread",22
5,"modern",21
6,"among",21
7,"considered",21
8,"against",20
9,"states",19
10,"means",17
11,"physical",16
12,"refer",15
13,"developed",15
14,"invention",15
15,"author",15
16,"generally",14
17,"toward",14
18,"major",14
19,"effect",14
20,"medical",14
21,"environment",14
22,"england",13
23,"traditional",13
24,"culture",13
25,"meaning",13
26,"production",13
27,"source",12
28,"typhoon",12
29,"behavior",12
30,"knowledge",12
31,"certain",12
32,"recent",12
33,"purpose",12
34,"centuries",12
35,"course",12
36,"popularity",11
37,"global",11
38,"term",11
39,"widely",11
40,"communication",11
41,"beyond",11
42,"injured",11
43,"tropical",11
44,"protection",11
45,"impact",11
46,"leaves",11
47,"process",10
48,"speech",10
49,"death",10
50,"companies",10
51,"probably",10
52,"serve",10
53,"risk",10
54,"particular",10
55,"indian",10
56,"reduce",10
57,"industry",10
58,"worldwide",9
59,"consumption",9
60,"diseases",9
61,"chemical",9
62,"variety",9
63,"intelligence",9
64,"treatment",9
65,"produce",9
66,"materials",9
67,"guests",9
68,"positive",9
69,"invented",9
70,"state",9
71,"leather",9
72,"material",9
73,"construction",9
74,"project",9
75,"influence",8
76,"huge",8
77,"related",8
78,"musical",8
79,"wild",8
80,"demand",8
81,"rare",8
82,"value",8
83,"contains",8
84,"escape",8
85,"status",8
86,"threat",8
87,"respect",8
88,"cultures",8
89,"organization",8
90,"significant",8
91,"severe",8
92,"patterns",8
93,"symbol",8
94,"symbols",8
95,"established",8
96,"face",8
97,"career",8
98,"prevent",8
99,"results",8
100,"performance",8
101,"black",8
102,"americans",8
103,"online",8
104,"opened",8
105,"offered",8
106,"technology",8
107,"paris",8
108,"felt",8
109,"product",8
110,"tons",8
111,"instrument",8
112,"feature",8
113,"patients",8
114,"showed",8
115,"poor",8
116,"images",8
117,"throughout",8
118,"pressure",8
119,"green",8
120,"violence",8
121,"alarm",8
122,"morning",8
123,"square",8
124,"de",8
125,"dark",7
126,"display",7
127,"office",7
128,"table",7
129,"general",7
130,"stage",7
131,"london",7
132,"let",7
133,"remove",7
134,"interview",7
135,"powerful",7
136,"community",7
137,"essential",7
138,"vision",7
139,"either",7
140,"moved",7
141,"potential",7
142,"fear",7
143,"inferred",7
144,"situation",7
145,"loved",7
146,"spend",7
147,"forests",7
148,"single",7
149,"straight",7
150,"insects",7
151,"clear",7
152,"function",7
153,"dangerous",7
154,"ideas",7
155,"island",7
156,"cultural",7
157,"effort",7
158,"promote",7
159,"committee",7
160,"original",7
161,"gender",7
162,"asia",7
163,"king",7
164,"member",7
165,"replaced",7
166,"features",7
167,"represented",7
168,"style",7
169,"wheelchair",7
170,"especially",7
171,"places",7
172,"french",7
173,"english",7
174,"drop",7
175,"development",7
176,"shape",7
177,"designed",7
178,"equipment",7
179,"settled",7
180,"virus",7
181,"cities",7
182,"coin",7
183,"greatly",7
184,"species",7
185,"completely",7
186,"tiny",7
187,"endangered",7
188,"required",7
189,"officer",7
190,"tool",7
191,"store",7
192,"limit",7
193,"levels",7
194,"participants",7
195,"uses",7
196,"further",7
197,"told",7
198,"civil",7
199,"friendly",7
200,"dry",7
201,"loss",7
202,"short",7
203,"unusual",7
204,"pick",7
205,"woman",7
206,"self",7
207,"none",7
208,"trip",7
209,"addition",7
210,"increase",7
211,"signals",7
212,"content",7
213,"particularly",7
214,"grown",7
215,"paper",7
216,"ii",7
217,"doing",7
218,"weeks",7
219,"photos",7
220,"attached",7
221,"services",7
222,"installed",7
223,"hope",7
224,"encouraged",7
225,"enter",7
226,"metal",7
227,"resources",7
228,"lives",7
229,"yellow",7
230,"rain",7
231,"coming",7
232,"paintings",7
233,"skills",7
234,"branches",7
235,"appeared",7
236,"needs",7
237,"taste",7
238,"railway",7
239,"discussions",7
240,"struck",7
241,"cross",7
242,"minute",6
243,"whole",6
244,"continued",6
245,"sensitive",6
246,"plan",6
247,"maintain",6
248,"record",6
249,"plans",6
250,"attracted",6
251,"sugar",6
252,"interested",6
253,"beliefs",6
254,"phenomenon",6
255,"version",6
256,"secret",6
257,"contain",6
258,"cancer",6
259,"worse",6
260,"artificial",6
261,"healthy",6
262,"society",6
263,"lying",6
264,"react",6
265,"difference",6
266,"friends",6
267,"sense",6
268,"typically",6
269,"showing",6
270,"elephant",6
271,"experiences",6
272,"becoming",6
273,"player",6
274,"injuries",6
275,"didn",6
276,"knew",6
277,"professional",6
278,"coast",6
279,"soft",6
280,"older",6
281,"heavy",6
282,"properly",6
283,"read",6
284,"regularly",6
285,"explore",6
286,"familiar",6
287,"speak",6
288,"dreams",6
289,"computer",6
290,"entire",6
291,"usual",6
292,"instance",6
293,"gods",6
294,"apart",6
295,"observed",6
296,"effective",6
297,"convention",6
298,"named",6
299,"annual",6
300,"purposes",6
301,"universities",6
302,"herself",6
303,"san",6
304,"news",6
305,"try",6
306,"tines",6
307,"adopted",6
308,"thomas",6
309,"larger",6
310,"germany",6
311,"route",6
312,"favorite",6
313,"subject",6
314,"perform",6
315,"hold",6
316,"expression",6
317,"requires",6
318,"advantage",6
319,"sure",6
320,"catch",6
321,"summer",6
322,"sick",6
323,"competition",6
324,"largest",6
325,"factors",6
326,"furthermore",6
327,"mental",6
328,"data",6
329,"pass",6
330,"phrase",6
331,"normal",6
332,"questions",6
333,"temperatures",6
334,"stop",6
335,"nineteenth",6
336,"soldiers",6
337,"model",6
338,"explain",6
339,"hit",6
340,"include",6
341,"tested",6
342,"claimed",6
343,"brands",6
344,"goes",6
345,"married",6
346,"fashion",6
347,"physically",6
348,"numerous",6
349,"novels",6
350,"himself",6
351,"balance",6
352,"methods",6
353,"alert",6
354,"aesop",6
355,"happy",6
356,"document",6
357,"effects",6
358,"thinking",6
359,"choice",6
360,"choose",6
361,"discussion",6
362,"childhood",6
363,"received",6
364,"zeke",6
365,"bringing",6
366,"benefits",6
367,"sleep",6
368,"officially",6
369,"feeling",6
370,"spring",6
371,"highly",6
372,"associated",6
373,"fruit",6
374,"taiwu",6
375,"helped",6
376,"negative",6
377,"advised",6
378,"attitude",6
379,"returned",6
380,"breaks",6
381,"rid",6
382,"return",6
383,"town",6
384,"evidence",6
